School_No,School_Name,School_Type,Suburb,State,Postcode,Phone_No,LGA_ID,LGA_Name,Latitude,Longtitude,Education_Sector,Entity_Type,Address
113,Newport Lakes Primary School,Primary,Newport,VIC,3015,03 9391 8942,311,Hobsons Bay (C),144.878345,-37.838424,Government,1,Elizabeth Street
116,Cavendish Primary School,Primary,Cavendish,VIC,3314,03 5574 2282,626,Southern Grampians (S),142.039893,-37.53087,Government,1,8-10 Barker Street P O Box 28
117,Colac Primary School,Primary,Colac,VIC,3250,03 5231 2560,175,Colac-Otway (S),143.598336,-38.337224,Government,1,53-65 Murray Street East P O Box 325
119,Castlemaine Primary School,Primary,Castlemaine,VIC,3450,03 5472 1452,543,Mount Alexander (S),144.222329,-37.066595,Government,1,Cnr Mostyn & Urquhart Street P O Box 448
120,Campbells Creek Primary School,Primary,Campbells Creek,VIC,3451,03 5472 2180,543,Mount Alexander (S),144.204662,-37.092935,Government,1,Main Road
122,Creswick Primary School,Primary,Creswick,VIC,3363,03 5345 2044,291,Hepburn (S),143.8915581,-37.42411355,Government,1,67 Napier Street P O Box 67
123,California Gully Primary School,Primary,California Gully,VIC,3556,03 5446 8393,262,Greater Bendigo (C),144.249857,-36.733207,Government,1,4-14 Staley Street P O Box 88
128,St Andrews Primary School,Primary,St Andrews,VIC,3761,03 9710 1255,571,Nillumbik (S),145.269827,-37.602316,Government,1,Caledonia Street
182,Warrnambool West Primary School,Primary,Warrnambool,VIC,3280,03 5561 3161,673,Warrnambool (C),142.466796,-38.366338,Government,1,35 Hoddle Street
184,Dromana Primary School,Primary,Dromana,VIC,3936,03 5987 2367,534,Mornington Peninsula (S),144.959653,-38.339644,Government,1,Mcculloch Street P O Box 166
197,Doncaster Primary School,Primary,Doncaster,VIC,3108,03 9848 1122,421,Manningham (C),145.129673,-37.786804,Government,1,2 - 12 Council Street
208,Echuca Primary School,Primary,Echuca,VIC,3564,03 5483 0700,137,Campaspe (S),144.747463,-36.128198,Government,1,413-431 High Street
209,Eltham Primary School,Primary,Eltham,VIC,3095,03 9439 9374,571,Nillumbik (S),145.1478042,-37.72498353,Government,1,Dalton Street DALTON STREET
210,Eaglehawk Primary School,Primary,Eaglehawk,VIC,3556,03 5446 3722,262,Greater Bendigo (C),144.254602,-36.720628,Government,1,Church St P O Box 77
220,Elphinstone Primary School,Primary,Elphinstone,VIC,3448,03 5473 3285,543,Mount Alexander (S),144.3329025,-37.10500363,Government,1,26 Wright Street
244,Hallam Primary School,Primary,Hallam,VIC,3803,03 9703 1536,161,Casey (C),145.258493,-38.001575,Government,1,24 Harmer Road
250,Flemington Primary School,Primary,Flemington,VIC,3031,03 9376 7137,506,Moonee Valley (C),144.933597,-37.781393,Government,1,Mt Alexander Road P O Box 7
253,Footscray Primary School,Primary,Footscray,VIC,3011,03 9687 1910,433,Maribyrnong (C),144.892669,-37.798383,Government,1,Cnr Geelong Road & Barkly St P O Box 6019
262,Gisborne Primary School,Primary,Gisborne,VIC,3437,03 5428 2022,413,Macedon Ranges (S),144.5884416,-37.4908591,Government,1,35 Fisher Street 35 FISHER STREET
264,Guildford Primary School,Primary,Guildford,VIC,3451,03 5473 4241,543,Mount Alexander (S),144.164884,-37.152008,Government,1,6 Franklin Street
267,Sandringham Primary School,Primary,Sandringham,VIC,3191,03 9598 1488,91,Bayside (C),145.009306,-37.947631,Government,1,31 Bamfield Street
275,Wandiligong Primary School,Primary,Wandiligong,VIC,3744,,11,Alpine (S),146.982923,-36.768862,Government,1,"119 School Road P O Box 591,"
283,Grovedale Primary School,Primary,Grovedale,VIC,3216,03 5243 3902,275,Greater Geelong (C),144.347794,-38.197238,Government,1,143 Bailey Street
293,Hawthorn West Primary School,Primary,Hawthorn,VIC,3122,03 9818 2233,111,Boroondara (C),145.018377,-37.820112,Government,1,Cnr Wood Street & Burwood Road
294,Heidelberg Primary School,Primary,Heidelberg,VIC,3084,03 9457 2259,66,Banyule (C),145.067799,-37.754705,Government,1,Cape Street P O Box 330
295,Hamilton (Gray Street) Primary School,Primary,Hamilton,VIC,3300,03 5571 9295,626,Southern Grampians (S),142.021384,-37.744914,Government,1,42 Gray Street P O Box 203
300,Heathcote Primary School,Primary,Heathcote,VIC,3523,03 5433 3090,262,Greater Bendigo (C),144.706851,-36.924012,Government,1,31 Herriot Street P O Box 631
304,Highton Primary School,Primary,Highton,VIC,3216,03 5243 1494,275,Greater Geelong (C),144.317085,-38.172156,Government,1,218 Roslyn Road P O Box 6093
306,Huntly Primary School,Primary,Huntly,VIC,3551,03 5448 8866,262,Greater Bendigo (C),144.334396,-36.662544,Government,1,101 Brunel Street
319,Bellbrae Primary School,Primary,Bellbrae,VIC,3228,03 5261 2660,649,Surf Coast (S),144.2630037,-38.33364403,Government,1,50 School Road
327,Chiltern Primary School,Primary,Chiltern,VIC,3683,03 5726 1421,335,Indigo (S),146.606601,-36.147066,Government,1,91-101 Albert Road P O Box 30
343,Kyneton Primary School,Primary,Kyneton,VIC,3444,03 5422 1855,413,Macedon Ranges (S),144.4513462,-37.24914183,Government,1,7-15 Baynton Street P O Box 192
366,Romsey Primary School,Primary,Romsey,VIC,3434,03 5429 5099,413,Macedon Ranges (S),144.7453792,-37.35417523,Government,1,2-56 Station Street Station Street
379,Shelford Primary School,Primary,Shelford,VIC,3329,03 5281 3291,249,Golden Plains (S),143.9821391,-38.0139946,Government,1,1717 Shelford-Bannockburn Road
385,Lockwood South Primary School,Primary,Lockwood South,VIC,3551,03 5435 3293,262,Greater Bendigo (C),144.156966,-36.841657,Government,1,710 Calder Alternative Highway
400,Marong Primary School,Primary,Marong,VIC,3515,03 5435 2288,262,Greater Bendigo (C),144.136339,-36.735549,Government,1,2 Leslie Street P O Box 303
415,Mount Macedon Primary School,Primary,Mount Macedon,VIC,3441,03 5426 1446,413,Macedon Ranges (S),144.5841275,-37.40479379,Government,1,641 Mount Macedon Road
427,Mount Clear Primary School,Primary,Mount Clear,VIC,3350,03 5330 1844,57,Ballarat (C),143.8681827,-37.60439201,Government,1,1206 Geelong Road
430,Melton Primary School,Primary,Melton,VIC,3337,03 9743 5335,465,Melton (C),144.58647,-37.681081,Government,1,Unitt Street P O Box 512
450,Fitzroy Primary School,Primary,Fitzroy,VIC,3065,03 9417 4222,735,Yarra (C),144.981511,-37.799603,Government,1,319 George Street P O Box 150
452,Newstead Primary School,Primary,Newstead,VIC,3462,03 5476 2226,543,Mount Alexander (S),144.06719,-37.105917,Government,1,Lyons Street
453,Newlyn Primary School,Primary,Newlyn,VIC,3364,03 5345 7222,291,Hepburn (S),143.9844266,-37.41202483,Government,1,2701 Midland Highway
